"PIN","Admit.Year","AI1","AI2","Major","LH1","LH2","PPT1","PPT2","CSI","MST","QR","Science"
"N357117405203",2017,"LS","LS","PS",3.5,4.5,3.5,3.5,3.5,4,3.5,4
"N358117401203",2017,"PPE","ECON","PSY",2,2,3.5,3.5,2,3,3.5,1
"N359117402203",2017,"ES","PS","MCS",3.5,4,4,5,4.5,4,5,4.5
"N360117418203",2017,"PPE","ECON","MCS",3.5,4.5,3,4,4,5,4,4.5
"N361117414203",2017,"PPE","MCS","PPE",3.5,4.5,4.5,4.5,4.5,4.5,5,4.5
"N362117413203",2017,"PPE","GA","GA",4,4.5,4,4,4.5,4,3,4.25
"N363117412203",2017,"ANTH","PHIL","US",2.5,2.5,3.5,2.5,3.5,3.5,3.5,3.5
"N364117410203",2017,"MCS","ECON","MCS",4.5,4,4.5,5,4.5,4.5,5.5,5
"N365117408203",2017,"ECON",NA,"ECON",3,4,3.5,3.5,4,4.5,4,4
"N368117402203",2017,"PPE","ARTS HUM","GA",4.5,4.5,4.5,4.5,4.5,4,4,4.5
"N369117425203",2017,"GA","PSY","PPE",3,4.5,4,4,4,5,4,4
"N370117414203",2017,"PSY","PPE","PPE",4.5,4,5,4.5,4.5,4,4,5
"N371117413203",2017,"PSY","ARTS HUM","LS",3,4,4.5,4,4.5,4.5,4,4.75
"N373117410203",2017,"MCS","PS","MCS",3,2,3,4,2,3.5,3.5,3.75
"N374117408203",2017,"PPE","ARTS HUM","GA",2,2,2,2.5,3,3.5,2,1
"N376117401203",2017,"LS","ES","LS",4,4.5,3.5,4.5,4,4,4,4.5
"N377117402203",2017,"PPE","ECON","PPE",4,4.5,4,4,4.5,4.5,4.5,4.75
"N378117425203",2017,"PPE","ECON","ECON",3,3.5,2.5,4,3,4,3,3
"N379117424203",2017,"PPE",NA,"PPE",5,4.5,4.5,4,4.5,4,4,4
"N380117413203",2017,"ES",NA,"ES",4,4,4,4.5,4,4,3.5,4
"N381117412203",2017,"ECON","GA","ECON",4,4,3,3,3.5,3.5,4,4
"N383117408203",2017,"MCS","PS","PPE",3,3.5,3,3.5,3,4.5,3,3.25
"N384117405203",2017,"PPE","LS","ECON",3.5,4.5,4.5,4,4,4,4,4.5
"N385117401203",2017,"ECON","PPE","ECON",4,4.5,4,4,3.5,4,4.5,4.25
"N386117402203",2017,"ES","PS","ECON",3.5,3.5,4,4.5,3.5,4,3,3.25
"N387117425203",2017,"PPE","PPE","MCS",3.5,4,4,4,4.5,4,4.5,4.75
"N388117424203",2017,"PSY","PPE","PSY",2.5,3.5,3.5,3.5,4,4,4,3.75
"N389117423203",2017,"MCS","LS","PSY",4.5,4,4.5,4,4.5,4,4,4.25
"N390117412203",2017,"MCS","PS","MCS",3.5,3,3.5,3,3,3.5,4,4
"N391117410203",2017,"LIT","PS","GA",3.5,4,3,4,3,4,2,3
"N392117408203",2017,"ARTS HUM","ARTS HUM","GA",4,4,5,4,3,4.5,3.5,4
"N393117405203",2017,"ANTH","ARTS HUM","LS",4.5,4.5,5,4.5,4,5,4.5,4.5
"N394117401203",2017,"LS","PS","LS",2.5,3,2.5,4,2.5,3.5,2.5,3.5
"N395117402203",2017,"ARTS HUM","PSY","ARTS HUM",4,3.5,4,4,3,3.5,2,3.25
"N399117421203",2017,"MCS","LIT","LIT",4.5,4,4,4,3,4.5,4,3.25
"N300117402204",2017,"MCS","PS","MCS",3.5,4,4,3,3.5,4,4,3.75
"N301117425204",2017,"PSY","PHIL","PSY",4,4.5,4,4,4,4.5,3.5,4
"N302117424204",2017,"ECON","PS","PHIL",4,4.5,5,5,5,4,5,4.75
"N305117418204",2017,"PSY","GA","GA",3,3.5,4,4,4.5,4,4,4
"N307117413204",2017,"MCS",NA,"MCS",3.5,3,3.5,3,3.5,3.5,3.5,3
"N308117412204",2017,"PPE","MCS","ECON",3.5,2.5,3,3,3.5,3.5,4,3.25
"N309117410204",2017,"LS","PS","LS",4.5,4.5,5,4.5,5,4,4.5,4.25
"N310117425204",2017,"PS",NA,"PS",3,3.5,3.5,4,3.5,4,4,3.75
"N312117423204",2017,"PS","MCS","PS",3.5,4.5,5,4,4.5,4.5,5,4.75
"N313117421204",2017,"PSY","US","GA",4.5,4.5,4,4.5,4.5,5,4.5,4.25
"N315117414204",2017,"MCS","PPE","PPE",2,2,2.5,3,2,2.5,3.5,2.75
"N319117408204",2017,"GA","ECON","PPE",4.5,4,5,5,4,4.5,3.5,4.25
"N320117424204",2017,"GA","PPE","PPE",3.5,4,3.5,4,4,4,2,4.25
"N321117423204",2017,"ANTH","ANTH","PPE",4,4,4,4,3.5,3.5,2,3.75
"N322117421204",2017,"MCS","ECON","PS",3,2,3,3,3.5,3.5,2.5,3.25
"N323117418204",2017,"PS","PHIL","ES",4,3.5,4,4,2.5,4,2,3.5
"N324117414204",2017,"PSY","PS","ES",4,4.5,4.5,5,4.5,4.5,5,4.5
"N325117413204",2017,"PS","ARTS HUM","PS",4,3.5,3.5,2,4,3.5,3.5,4.25
"N326117412204",2017,"PPE","ECON","ECON",3.5,4,3,5,2,4,2,3.25
"N327117410204",2017,"MCS","ECON","PS",4,4,4,4,3.5,4,4,3.75
"N328117408204",2017,"ANTH","ANTH","US",4.5,3.5,4,4,4.5,4.5,3.5,3
"N329117405204",2017,"HIST","PSY","PHIL",4.5,4.5,5,5,5,5,5,5
"N330117423204",2017,"ES","GA","ES",3.5,3.5,3.5,3.5,3,4.5,3.5,4
"N331117421204",2017,"GA","ARTS HUM","GA",4.5,4,4.5,3.5,4,4,3.5,3.5
"N332117418204",2017,"ECON",NA,"ECON",3,4,3.5,3.5,3.5,4,3.5,3.5
"N333117414204",2017,"GA","PPE","PHIL",4,4.5,4.5,4,3.5,4,3.5,4.5
"N334117413204",2017,"PSY","PPE","MCS",4.5,4,4.5,3.5,4,4,4,4.25
"N335117412204",2017,"LS","ECON","ANTH",4,3.5,3.5,3.5,4.5,4,4,3.5
"N336117410204",2017,"GA","US","US",4,4,3,4,3.5,4.5,2.5,4.25
"N339117401204",2017,"PPE","ECON","ECON",4.5,5,5,5,4.5,5,5,4.75
"N341117418204",2017,"LS","PSY","PSY",3.5,4,3.5,4,4,4,2.5,4
"N343117413204",2017,"HIST","PS","PS",4.5,4,4,4.5,4.5,4,4,4.75
"N344117412204",2017,"US","PPE","MCS",3.5,3,2.5,3.5,2,3.5,2,3.25
"N345117410204",2017,"ES","ECON","ES",4.5,4.5,4,3.5,3,5,4.5,4.5
"N324117405209",2017,"ES","PS","PS",3,4.5,4,4,4,4,5,4.75
"N339117421209",2017,"PS","PS","MCS",3.5,3.5,4.5,4,5,4.5,4.5,4.75
"N341117408209",2017,"LS","LIT","LS",5,5,5,5,5,5,4,5.25
"N342117405209",2017,"PS","PSY","MCS",4.5,4.5,5,5,4.5,4.5,5,4.75
"N343117401209",2017,"PPE","GA","GA",5,5,3.5,4.5,4.5,4.5,3.5,3.25
"N345117425209",2017,"PSY","PS","ARTS HUM",4,2.5,4.5,3.5,3.5,3,3.5,3.25
"N395117424214",2017,"ARTS HUM","PS","PSY",4,4.5,4,4.5,4.5,4,4,4.25
"N397117421214",2017,"PS","ANTH","PPE",3.5,4.5,3.5,3,4.5,4,4.5,5
"N398117418214",2017,"GA","PPE","ANTH",5,4.5,5,4.5,5,5,5,5
"N399117414214",2017,"PPE","ECON","ES",4,4,4.5,4.5,4.5,4,4,4.25
"N300117424215",2017,"PSY","MCS","PSY",4.5,4,4,4,4,4,4,4.5
"N301117423215",2017,"HIST","PPE","ECON",4,4.5,4.5,4,3.5,4.5,3.5,4.75
"N302117421215",2017,"ANTH","PPE","ES",4,4.5,4,4.5,5,4,4,3.5
"N303117418215",2017,"PHIL","LIT","ARTS HUM",3,2,3,3.5,3,3.5,3.5,4.25
"N304117414215",2017,"ECON","PPE","ECON",4,5,4.5,4.5,5,5,5,5.25
"N305117413215",2017,"PHIL",NA,"PHIL",4.5,4,3.5,3.5,4,4,3,3.5
"N306117412215",2017,"ARTS HUM","GA","GA",3,4,4,4.5,3.5,4,4,3.25
"N307117410215",2017,"LIT",NA,"PHIL",4,2.5,5,4,3.5,5,4,3.75
"N308117408215",2017,"PSY","ANTH","ANTH",4.5,3.5,3.5,4,2.5,4,4,4
"N343117410215",2017,"ANTH","US","ES",4,3,4.5,4.5,4,4.5,4.5,4.5
"N344117408215",2017,"ECON","MCS","PPE",2.5,3,4,3.5,3,4,3,4.5
"N345117405215",2017,"LIT","ARTS HUM","ECON",4,4.5,4,3.5,4,4,4,4.25
"N347117402215",2017,"GA","PPE","PSY",4,3,4.5,3.5,3.5,4,4,4.25
"N348117425215",2017,"PPE","ANTH","PSY",4,4.5,4,4.5,3.5,4,4,3.5
"N349117424215",2017,"GA","ECON","LIT",3.5,4,4.5,4,3.5,5,4,4
"N350117413215",2017,"GA","PPE","MCS",4.5,4.5,4,5,4,5,5,5
"N351117412215",2017,"MCS","PPE","MCS",4,5,4,4.5,5,4.5,5,5
"N352117410215",2017,"ES","US","ES",5,3.5,4.5,4.5,4.5,4.5,4,5
"N354117405215",2017,"LIT",NA,"ARTS HUM",4.5,4.5,3.5,4.5,3.5,4,3.5,3.75
"N355117401215",2017,"ARTS HUM","ES","ES",3.5,4,4,3.5,4,4.5,4,4.75
"N357117425215",2017,"LIT","PPE","ES",3.5,4,3.5,4.5,3.5,3.5,3.5,3.25
"N359117423215",2017,"LIT","PPE","PHIL",4.5,3.5,4.5,4,3.5,3.5,2.5,3.5
"N363117405215",2017,"PPE","US","PPE",4.5,4.5,5,5,4.5,5,4,5
"N364117401215",2017,"PPE","GA","PPE",4,4,4.5,4,4,5,3.5,4.5
"N365117402215",2017,"GA","PPE","PPE",3.5,4,3.5,5,3,4,3.5,4
"N366117425215",2017,"PSY","ANTH","ANTH",4,5,4.5,4,4,4,4,4.5
"N367117424215",2017,"ARTS HUM","GA","HIST",3.5,3.5,3.5,4,3.5,3,4,3.25
"N368117423215",2017,"ECON","GA","ANTH",4,4.5,4,4.5,4,4.5,4,4.75
"N370117410215",2017,"ANTH","GA","PPE",4,3.5,4,4,4.5,4,4,4
"N371117408215",2017,"ARTS HUM","PPE","PHIL",4.5,4,5,5,5,5,5,5
"N372117405215",2017,"GA","HIST","US",4.5,3.5,4.5,4.5,4,4.5,4,4
"N374117402215",2017,"LIT","PHIL","LIT",4,4.5,4,5,3.5,4,2.5,4
"N375117425215",2017,"PSY","US","PSY",4,4.5,4,5,4,4,4,4.5
"N377117423215",2017,"PHIL","PSY","PHIL",4.5,4.5,4.5,4,5,4.5,4,4
"N378117421215",2017,"ES","ARTS HUM","PPE",3.5,4,3.5,4.5,4,4,4,3.5
"N379117418215",2017,"GA","ECON","US",4,4,4,4,4.5,4.5,4.5,3.75
"N380117408215",2017,"PPE","GA","ECON",3,4,4,4.5,3.5,4.5,3.5,4.25
"N381117405215",2017,"LIT","ARTS HUM","US",3,4,3,3,3.5,4.5,3.5,3.5
"N382117401215",2017,"HIST","LIT","LIT",5,5,4.5,5,5,5,3,3.5
"N384117425215",2017,"ARTS HUM","GA","ES",4,4.5,4,4.5,4.5,5,4,4.5
"N385117424215",2017,"LIT","MCS","MCS",5,4.5,4.5,5,5,5,4,5.25
"N387117421215",2017,"HIST","LIT","ARTS HUM",3.5,4,4,4,4,4,3.5,3.25
"N388117418215",2017,"US","ES","US",5,4,4.5,4,4.5,4,4.5,5
"N390117405215",2017,"HIST","GA","HIST",4.5,4.5,4.5,4,5,4.5,5,4.75
"N391117401215",2017,"HIST","GA","GA",3.5,3.5,4,3,3,4.5,2,3.75
"N392117402215",2017,"PPE","GA","ANTH",4,4,4.5,4.5,3.5,4,4,4.25
"N393117425215",2017,"LIT","ARTS HUM","LIT",2.5,4,4,4.5,4,4,2.5,3.5
"N382117423219",2017,"LS","PHIL","HIST",4.5,4,4,4,3.5,5,4,4.25
"N303117425220",2017,"HIST","LS","LS",3,4,4,4.5,3.5,4.5,3,4.25
"N333117405227",2017,"PSY","LS","PSY",4,4,4,4,4,3.5,4.5,4.25
"N327117401243",2017,"LIT","PPE","PPE",4,5,4.5,4,3.5,4,4,4.5
"N332117412243",2017,"ES","PS","LS",4,3.5,3,2.5,2.5,3.5,4,4.75
"N334117408243",2017,"GA","PPE","US",4,4,4,4.5,4,4,4,3.75
"N335117405243",2017,"ANTH","LS","LS",3.5,4.5,4,4.5,3.5,4,3.5,3.5
"N324117405245",2017,"PPE","ANTH","PPE",3.5,4,4,4,3.5,3.5,4.5,4
"N328117424245",2017,"ARTS HUM","MCS","US",5,5,4.5,4.5,4,4.5,5,5.25
"N393117421263",2017,"PPE","HIST","PSY",4,3.5,3.5,4,3.5,4.5,4,4.25
"N303120413277",2019,"LS","PS","PS",4,3.5,3.5,4,4.5,3.5,4,3.5
"N389120413276",2019,"GA","ES","PS",4,4,2,3,3.5,4,3,4
"N369120418276",2019,"GA","PPE","PPE",4,4,4,4,4,3.5,3,3.75
"N367120418296",2019,"ARTS HUM","PPE","GA",4,4.5,4.5,3,4,4.5,3.5,3.5
"N399120412276",2019,"ECON","PPE","ECON",3,4,2,3,3.5,4,3.5,3.5
"N356120423296",2019,"LIT","ARTS HUM","PPE",4,5,3.5,4,5,4,4,4
"N313120412277",2019,"MCS",NA,"MCS",3.5,3.5,4.5,3,3.5,3.5,4,4.5
"N347120424277",2019,"ES","PPE","ES",4.5,4.5,3,4,3.5,3.5,2,3.25
"N385120421277",2019,"ECON","ANTH","MCS",3.5,4,4,3.5,4,4,3.5,4.75
"N349120421277",2019,"GA","ECON","GA",4,4.5,4.5,4,4,4.5,3.5,4
"N302120414277",2019,"LIT","ES","ES",4,4,3.5,3.5,3.5,4,4.5,3.75
"N328120423297",2019,"LS","ECON","MCS",4.5,5,3.5,4,4.5,4,4.5,4.5
"N375120421296",2019,"GA","HIST","HIST",5,5,5,4.5,4.5,4,4.5,5
"N386120421276",2019,"ES","PPE","ES",4.5,4.5,3.5,4.5,4.5,4,2,3.25
"N387120413296",2019,"LIT","ANTH","US",4.5,5,4.5,4.5,4.5,4.5,3.5,4.25
"N311120414277",2019,"PPE","ECON","GA",4,4.5,4.5,4,3.5,4,2.5,3.5
"N308120425297",2019,"ECON","MCS","MCS",4,4,4,3.5,4.5,3.5,2.5,4
"N387120414277",2019,"MCS","PS","MCS",3.5,4.5,4.5,4.5,4.5,4.5,4.5,5
"N326120401277",2019,"ECON","MCS","PPE",3.5,5,3,5,3.5,3.5,4,4.25
"N341117402293",2019,"LS","LIT","ANTH",4.5,4,4,4,4,4.5,4.5,4.75
"N332120410277",2019,"PSY","PHIL","PSY",4.5,4.5,5,4.5,4,5,4,4
"N372120425296",2019,"US","ES","US",4.5,4.5,5,4,4,4,4,4.75
"N381120402277",2019,"MCS","ARTS HUM","MCS",4.5,4,4,4.5,4,4,4,4.25
"N353120401277",2019,"PS","ARTS HUM","PS",5,5,4,3.5,5,4.5,5,4.75
"N374120423296",2019,"ECON","LS","ECON",4,4,3.5,4.5,4,4,2.5,3.75
"N374120425276",2019,"PPE","ANTH","US",4,4,5,3.5,4.5,4.5,3.5,3.5
"N307120401278",2019,"ANTH","ARTS HUM","US",4,4.5,4,4,4.5,4,4,4.5
"N360120405296",2019,"PPE","ECON","PSY",4.5,5,4,4,4.5,5,3,4.25
"N300120418278",2019,"ARTS HUM","PPE","PPE",4.5,4.5,4,4,4,5,3,3.75
"N368120414296",2019,"PSY","LS","PSY",5,4.5,3.5,4,4,4,4,4.5
"N357120421296",2019,"PPE",NA,"HIST",4.5,4.5,5,4.5,4,4,3.5,4
"N368120421276",2019,"HIST","PPE","HIST",4.5,5,5,4.5,4.5,4.5,4,4
"N306120401297",2019,"PSY","ARTS HUM","ARTS HUM",3.5,4,3,3.5,4,3.5,2.5,3.5
"N322120412277",2019,"GA","PSY","GA",4.5,3.5,2.5,3.5,4,4,3.5,3.75
"N316120405277",2019,"ARTS HUM","ARTS HUM","ARTS HUM",4.5,4.5,4,4,4.5,4.5,2.5,2.75
"N369120414277",2019,"LS","PSY","PPE",4,5,3.5,4.5,4,4,4.5,4.5
"N396120414277",2019,"LS",NA,"LS",3.5,4.5,4,3.5,4,4.5,4,4
"N394120418296",2019,"ECON","MCS","MCS",3.5,4.5,4.5,4,4.5,4,4,4.5
"N378120413296",2019,"ES","ANTH","ES",3.5,4.5,3,3.5,4,3.5,4,4.25
"N329120424277",2019,"PPE","ANTH","PPE",4.5,4.5,4,4.5,4,4,4,4.75
"N376120418296",2019,"US","ES","ES",3.5,4.5,3.5,3.5,4.5,3.5,3.5,3.75
"N351120408277",2019,"LS","GA","MCS",3.5,4,4,5,4,4.5,5,4
"N365120424277",2019,"PPE","GA","PPE",4,5,4.5,5,4.5,4.5,3,4.25
"N364120425277",2019,"ARTS HUM","ANTH","ARTS HUM",5,4,3,4.5,3,4,2,3
"N331120408297",2019,"PPE","ECON","PPE",4.5,3.5,3,4,4,3.5,2.5,4.5
"N324120401297",2019,"PPE","GA","HIST",3.5,4,4,4,4,4,4,4
"N314120410277",2019,"LS","GA","PPE",4,4.5,3.5,4.5,3.5,4,2,4.25
"N303120408213",2019,"ES","US","ANTH",4,5,3.5,3.5,4.5,3.5,3.5,3.75
"N305120408278",2019,"PPE","ARTS HUM","PSY",4,5,4,4,3.5,3.5,3.5,3.5
"N307120402297",2019,"ES","MCS","PS",3.5,3.5,3.5,4,2,4,3,3.5
"N319120425277",2019,"GA","ECON","PPE",3,4,3.5,3,4,3.5,2.5,3
"N339120423277",2019,"PPE","ARTS HUM","MCS",3.5,4.5,4.5,4.5,3.5,4.5,3.5,4.25
"N327120424297",2019,"ANTH",NA,"ANTH",5,4,4.5,5,4.5,4,4,4.5
"N389120412277",2019,"PSY","PPE","HIST",3.5,4,3.5,4,4,4,2,4.25
"N321120413277",2019,"PPE","GA","GA",4,4.5,3.5,3,3.5,4,3.5,3.75
"N369120413296",2019,"PPE","GA","GA",4.5,4,3.5,4,3.5,4.5,2.5,3.75
"N373120402276",2019,"ARTS HUM","LIT","GA",5,4.5,2.5,3.5,4.5,4,3.5,3.25
"N334120405277",2019,"PS","LS","LS",4,4.5,4.5,4,4.5,4.5,4,5
"N359120418277",2019,"LS","PSY","PSY",4,3.5,3.5,4.5,3.5,4,3.5,4.5
"N303120410297",2019,"LS","PS","PS",4.5,5,4.5,4.5,5,4,4.5,3.75
"N318120402277",2019,"GA","PPE","GA",4.5,4.5,4,4,4,4,4,3.75
"N388120412296",2019,"PS","PSY","ANTH",3.5,3.5,5,3.5,4.5,4,4,4
"N315120401297",2019,"ES","GA","ES",4.5,4.5,3,4,4.5,4,3.5,4.5
"N352120405277",2019,"HIST","PPE","LIT",4.5,4.5,3,3.5,5,3.5,2.5,3.75
"N321120410297",2019,"MCS","PS","ES",4.5,4.5,4,3.5,4.5,4,5,4.5
"N301120418277",2019,"PSY","ECON","US",4.5,4,4,4.5,3,4.5,2,3.25
"N310120414278",2019,"PPE","HIST","PHIL",3.5,3.5,5.5,4,4,4,3,3
"N333120401297",2019,"ECON","ECON","ECON",3.5,4,4,4.5,3.5,5,3.5,4
"N358120421277",2019,"PPE","PSY","PHIL",4.5,4,4.5,4,4.5,4,5,4.75
"N380120405276",2019,"PPE","ARTS HUM","HIST",5,5,4,4.5,4.5,5,3,4.75
"N302120412297",2019,"PPE","US","GA",3,4.5,3.5,4,3.5,4,2.5,3
"N335118418249",2019,"GA","PPE","ES",4,4.5,4,4,4.5,4,4.5,3.75
"N374121423210",2019,"LS","PSY","LS",3.5,4.5,3.5,4,4.5,3.5,3.5,3.5
"N378120418276",2019,"PPE","PSY","ES",4,4,3.5,3.5,4,4,4,4.25
"N380119410203",2019,"US","ECON","MCS",4,5,5,5.5,4.5,4.5,5,4.25
"N373120425277",2019,"PSY","US","LS",5,5,4,4.5,5,3.5,2.5,3.75
"N353120402296",2019,"PPE","LIT","HIST",4.5,5,4,4,4.5,4.5,4,4.25
"N310120413297",2019,"MCS","PPE","MCS",4,3.5,4,3.5,4,4,4,4.25
"N361120401296",2019,"LS","PS","ES",4.5,4.5,5,5,5,4.5,5,5
"N349120418296",2019,"ECON","GA","ECON",4.5,5,5,5,4.5,4,3.5,3.75
"N379120412296",2019,"US","HIST","US",4,4.5,3.5,3,4.5,3.5,4,4.75
"N371120402296",2019,"ANTH","ARTS HUM","ANTH",5,5,4.5,5,4.5,4,4,4
"N317120425297",2019,"ANTH","PSY","PS",4.5,4,4,4.5,4.5,3.5,4,4
"N392120424277",2019,"PPE",NA,"PPE",4,4.5,4,4,4.5,4,3.5,3.75
"N362120401277",2019,"PPE","ARTS HUM","GA",4,5,4,4,5,4,2.5,4.5
"N305120405297",2019,"PPE","ECON","ECON",3.5,3.5,2.5,3,4,3,2.5,2.75
"N313120408297",2019,"MCS","US","US",5,5,5,5,4.5,5,4,5
"N391120402276",2019,"HIST","ANTH","ARTS HUM",4,5,4,4,4,4,2.5,3.25
"N372120402277",2019,"MCS","MCS","MCS",4.5,4,4.5,4.5,5,5,4,3.75
"N399120410277",2019,"US","PPE","ANTH",4.5,4.5,4.5,4.5,4,5,2.5,4
"N361120405277",2019,"MCS","PS","MCS",4,4.5,3,4,3,3,3.5,4.5
"N309120425278",2019,"MCS","ECON","MCS",4.5,4.5,4.5,4.5,5,5,4.5,4.25
"N394120423276",2019,"ARTS HUM","PPE","LIT",4,4.5,2.5,3.5,3.5,4,2,3.25
"N304120412277",2019,"ES","PSY","GA",5,4.5,3.5,3.5,3.5,4.5,3,2.75
"N363114413299",2019,"MCS","PS","MCS",4.5,4.5,5,4,4.5,4,5,4.75
"N334120402297",2019,"ES",NA,"ES",4,3.5,3.5,3.5,4.5,3.5,4,4
"N327120402277",2019,"ANTH","PPE","ARTS HUM",5,5,4.5,5,5,5,4,3.5
"N362120402296",2019,"PPE","ECON","GA",4,4.5,4,4,4.5,4.5,4,3.75
"N392120425276",2019,"PPE","ECON","PPE",3.5,4.5,3.5,4,4,4.5,3.5,4.5
"N305120410277",2019,"PSY","ES","ES",4,4,4.5,4,4.5,4,2.5,4.75
"N395120414296",2019,"PPE","HIST","PSY",4.5,4.5,4,4.5,4.5,5,3,3.75
"N393120421296",2019,"ANTH","GA","ANTH",4.5,4.5,5,4.5,5,4,2.5,4.75
"N391120425277",2019,"PSY",NA,"MCS",4.5,4.5,3.5,4,5,3.5,4,3.5
"N370120405277",2019,"PSY","ANTH","PSY",4,4.5,4,4,4,4,3.5,5
"N397120413277",2019,"ANTH","PSY","US",4,4.5,3.5,3.5,4,3.5,4,4.75
"N382120424296",2019,"PSY","ARTS HUM","ANTH",4.5,4.5,4,4,3.5,4.5,3,4.25
"N316120402297",2019,"HIST","PPE","PPE",4.5,4.5,3.5,5.5,4,4.5,3.5,3.5
"N392120413260",2019,"ANTH","ES","ES",3.5,4.5,4,4,4.5,4,4,4
"N320120412297",2019,"HIST","LS","PPE",4,5,4.5,4,4,4.5,3,4.75
"N300120421277",2019,"ECON","PSY","PSY",4,5,4,4.5,4,4.5,4.5,3.5
"N323120410277",2019,"PSY","LS","PSY",4,4.5,4.5,4.5,4,4.5,4.5,5
"N352120401296",2019,"ARTS HUM","ANTH","GA",4,5,4,3,4.5,4,3.5,3.75
"N375120424276",2019,"ES","ANTH","ES",4.5,4.5,4.5,4,4.5,4,4,4.5
"N323118412206",2019,"PPE","ANTH","GA",4.5,4.5,5,4,4.5,4.5,4,4.5
"N397121412210",2019,"ARTS HUM","PSY","US",3,4.5,4,3.5,4,4,4,4
"N384120421296",2019,"LS","ARTS HUM","LS",3,4,4,3,4,3.5,3.5,3.75
"N391120424296",2019,"ECON","ANTH","LIT",5,4.5,4.5,4,4.5,4.5,3,3.5
"N388120414276",2019,"ANTH","LIT","LIT",4.5,5,4.5,3.5,4.5,4,2.5,3.75
"N336120402277",2019,"PPE","PSY","PSY",4,5,4.5,4.5,3.5,4,4,4.5
"N374120424277",2019,"ARTS HUM",NA,"US",4,3.5,4,4.5,4,3.5,3,4
"N363120402277",2019,"PPE","GA","US",3.5,5,5,5,4,4,4.5,4
"N375121421210",2019,"LS","PPE","US",3.5,4.5,3.5,3.5,4,4,2.5,3.5
"N347120423296",2019,"PPE","PHIL","ANTH",3.5,4.5,3.5,4,4.5,4,4,4.5
"N338120421297",2019,"PPE","ANTH","ECON",5,4.5,4,4,4.5,4,2,3
"N310120418277",2019,"GA","ES","ES",3.5,5,4,3.5,4,4,4,5
"N388120413277",2019,"PPE","GA","MCS",3.5,4.5,3.5,4.5,4.5,4,2.5,4.5
"N376120421277",2019,"ECON","PPE","PPE",3.5,4,4,4.5,4,4.5,4,4.25
"N314120408278",2019,"US","ARTS HUM","ANTH",4,4.5,3.5,3,4,4.5,3.5,3.5
"N336120424297",2019,"PS","PS","LS",4.5,4.5,4,5,5,4,4.5,4.5
"N311120413278",2019,"ANTH","LS","ANTH",5,4.5,5.5,5,4.5,4.5,2.5,4.75
"N377120418277",2019,"PPE","GA","ANTH",5,5,4,3.5,4,4.5,3,3.25
"N346120425277",2019,"PSY","ARTS HUM","PSY",4,5,3.5,3.5,3.5,3.5,4,3.75
"N313120410278",2019,"HIST","GA","GA",4.5,4.5,4.5,4.5,4.5,5,4,4
"N348120423277",2019,"PS","MCS","PS",4.5,4.5,4,4,4.5,4.5,4,4
"N360120408277",2019,"ARTS HUM","PPE","ES",4,4.5,4.5,4,4.5,4,3.5,3.75
"N324120408277",2019,"PPE","ECON","ECON",4.5,4.5,4,4.5,5,4.5,5,4.75
"N309120424297",2019,"ANTH",NA,"PHIL",4.5,4,5,4,5,4.5,4.5,4.5
"N387120418276",2019,"LIT","HIST","LIT",4,5,4.5,4,4.5,4,3,3.25
"N306120405278",2019,"HIST","PPE","US",4.5,4.5,3,4.5,4.5,4.5,3.5,3.25
"N390120425296",2019,"ECON","MCS","MCS",4,3.5,3.5,3.5,4.5,3.5,5,3.75
"N302120413278",2019,"PSY",NA,"PSY",4,4,3.5,4,4,5,4,4.25
"N335120401277",2019,"LIT","ANTH","PPE",5,5,4,4.5,4.5,5,4,4.25
"N367120412241",2019,"PSY","ANTH","MCS",5,4.5,5,4.5,4.5,4,4.5,4
"N316120401278",2019,"MCS","ECON","GA",3.5,4,4,3,3.5,3.5,3.5,3
