"PIN","Admit.Year","AI1","AI2","Major","LH1","LH2","PPT1","PPT2","CSI","MST","QR","Science"
"N304120408297",2019,"PPE","ECON","GA",3.5,5,3,4,4,4,3,3.5
"N318120424297",2019,"GA","PPE","MCS",4.5,5,4,4,4.5,4.5,5,3.75
"N356120424277",2019,"ANTH","GA","ES",4.5,5,4.5,4.5,5.5,4.5,5.5,4.75
"N346120424296",2019,"GA","PPE","GA",4.5,5,4,4,4,4.5,2.5,4.25
"N370120408276",2019,"ANTH","GA","PSY",4,4.5,4,4,4,4,2.5,3.75
"N328115405225",2019,"ECON",NA,"GA",4.5,4.5,4,4.5,5,4,4,4.75
"N315120408277",2019,"HIST",NA,"HIST",4.5,5,3.5,4.5,4.5,4.5,4,3.75
"N383120423296",2019,"MCS","PS","MCS",4,4,3.5,4,4,4,3.5,4.75
"N377120421276",2019,"LIT","PHIL","LIT",4,4.5,3.5,4,4.5,3.5,2.5,4
"N362120421251",2019,"PSY","GA","PPE",3.5,4.5,4.5,4.5,4,4,2,4
"N357120423277",2019,"MCS","ECON","MCS",3,4.5,3.5,3,2.5,4,3,3.75
"N382120425277",2019,"LS","PSY","PS",4,4.5,4,3,3.5,4,3,4.5
"N384120423277",2019,"ECON","PPE","ECON",3.5,4,3.5,3.5,4.5,4,3,3.75
"N384120424258",2019,"PSY",NA,"PPE",4.5,4.5,3.5,5,4,4.5,4,4.5
"N350120408296",2019,"PS","MCS","PS",4.5,4.5,3.5,4,4.5,3.5,4,3.5
"N388117405293",2019,"LS","PSY","PSY",4,4.5,5,4.5,4,4,4.5,5
"N325120405277",2019,"ECON","PPE","PPE",3,4,3.5,4,3.5,4,3,3.5
"N354120402277",2019,"ARTS HUM","ARTS HUM","MCS",4,4.5,4,4.5,4,4.5,3,4
"N366120421296",2019,"ECON",NA,"ECON",3.5,4,4,4,4,4,3,4.25
"N351120405296",2019,"PS","MCS","PS",4,4.5,3.5,3.5,4,4,4,4.25
"N398120413276",2019,"PSY","PPE","PSY",4.5,4.5,4,3.5,4.5,4,4,4
"N375120423277",2019,"ANTH","ARTS HUM","ES",4.5,4.5,4,3.5,5,4.5,4.5,4
"N326120425297",2019,"PSY","ECON","ES",3,4.5,3,2.5,4,3,4,3.25
"N308120402278",2019,"GA","PPE","GA",4.5,5,4.5,4,4,4.5,4,4
"N309120402277",2019,"MCS","PHIL","MCS",3.5,4.5,5,5,4.5,4.5,4.5,5
"N390120401276",2019,"GA","US","ANTH",4,4.5,3.5,4,4,4,3.5,4.25
"N395120418277",2019,"GA","LIT","HIST",5,4.5,4.5,4.5,4,5.5,3.5,4.5
"N393120424276",2019,"MCS","PS","MCS",3,3.5,4,4,4,4.5,4,4.25
"N337120423297",2019,"ECON","GA","MCS",4,4,3.5,4,3.5,4,3,4
"N342120408277",2019,"LS","PSY","LS",4.5,5,4.5,3.5,5,4,5,5
"N320120414277",2019,"PSY","PSY","PSY",4,3.5,4,3,5,4,4,4.75
"N363120425296",2019,"PHIL","PSY","PPE",5,4,3.5,3.5,4,4.5,4.5,3.5
"N366120423277",2019,"LS","ES","ES",4,3.5,4,3,3.5,4,3.5,4
"N393120423277",2019,"LIT","HIST","PSY",5,4.5,4,3.5,5,4,4,4.25
"N390120402277",2019,"ES","US","LS",3.5,3.5,3.5,3,4,4,3.5,3.5
"N330120410297",2019,"HIST","PSY","HIST",5,4,3.5,3,4.5,4,2.5,3.25
"N386120414296",2019,"ECON","PS","MCS",3.5,4.5,4,4.5,4.5,4.5,4.5,4
"N383120424277",2019,"LS",NA,"PSY",3.5,4.5,4,3.5,4,4,3.5,3.75
"N344120401277",2019,"PS","ECON","ECON",4.5,4.5,4,4.5,5,4,4,5
"N383120425276",2019,"LS","PS","MCS",4.5,5,5,5,4.5,5,5,4.5
"N385120423276",2019,"ECON","PPE","MCS",4,4.5,4,5,3.5,4,5,4.5
"N335120425297",2019,"MCS",NA,"MCS",4.5,5,4.5,5,4,4.5,4,4.5
"N373120421213",2019,"PSY","ES","GA",4,4.5,3.5,4,4,4.5,3.5,4.75
"N329120421297",2019,"PSY",NA,"PSY",4,4,4,4.5,5,4.5,2.5,3.75
"N371120401277",2019,"US",NA,"LIT",5,5,3.5,4,4.5,5,3.5,4
"N359120414296",2019,"GA","ECON","US",4,4,3.5,4.5,4,4,4,4
"N355120424296",2019,"US","PPE","US",4.5,4.5,4,4,4.5,4,4.5,4.75
"N338120424277",2019,"ECON","PPE","GA",4.5,4.5,5,4.5,4.5,5,4,4.25
"N389120410296",2019,"LIT",NA,"LIT",5,4.5,4,4,4.5,4.5,3.5,4
"N345120402277",2019,"ANTH","MCS","ECON",3,4.5,3.5,3.5,3,3.5,4,3.25
"N348120421296",2019,"PPE","ECON","ANTH",4,4.5,4.5,5,4,4.5,4,4.5
"N312120412278",2019,"ECON","GA","ECON",4,4,4,3.5,4.5,4.5,4,4.5
"N380120402296",2019,"MCS","MCS","MCS",3,4,3,4.5,4,3.5,2.5,4
"N365120423296",2019,"LIT","PSY","LIT",4.5,5,4,4,3.5,4,3.5,4.25
"N380120401277",2019,"MCS","MCS","PHIL",4.5,5,4.5,5,4.5,5,4.5,5
"N304120410278",2019,"PS","PSY","MCS",4,4.5,4.5,3.5,4.5,5,5,3.5
"N312120413277",2019,"ECON","MCS","MCS",3.5,4,4,4.5,4,4.5,4,3.75
"N354120425296",2019,"ECON","MCS","MCS",3.5,4.5,4,4,4,4,4.5,4.5
"N382120402276",2019,"ES","MCS","MCS",4.5,4.5,3.5,5,4,3.5,4.5,4.75
"N341120410277",2019,"PSY","PHIL","PSY",4,3.5,4,3.5,3.5,3.5,3.5,4
"N386120421258",2019,"HIST","ARTS HUM","PPE",4.5,5,5,4.5,4.5,4,3.5,3.25
"N301120413297",2019,"ES","GA","US",4,4.5,4,3,5,4,4,4.5
"N322120408297",2019,"PSY",NA,"PSY",5,5,5.5,4.5,4,5,2.5,5
"N311120412297",2019,"PS","PS","ECON",4,4.5,5,4,4.5,4.5,4.5,4.75
"N371120405276",2019,"US","ECON","US",4,4,3.5,3,4,3,3.5,2.5
"N396120413296",2019,"PPE","ARTS HUM","PHIL",4.5,4,4.5,4,4,4,4,4.25
"N340120412277",2019,"ES","US","ES",4.5,4.5,4,3.5,4.5,4,5,4.5
"N337120425277",2019,"PPE","GA","PPE",4.5,5,4.5,4,4,5,4,4.25
"N325120402297",2019,"US","ARTS HUM","ARTS HUM",3.5,4,4,4,4,4,3.5,3.5
"N379120414276",2019,"GA","PPE","GA",3.5,4.5,3.5,3.5,4.5,3.5,2.5,4.25
"N376120423276",2019,"ARTS HUM","LIT","ES",4.5,5,4,4.5,4.5,5,3.5,4
"N399120408296",2019,"ES","GA","ES",4.5,4.5,3.5,4,4.5,5,4,4
"N355120425277",2019,"ECON",NA,"ECON",4,5,4,4,4.5,4,4,4.75
"N330120413277",2019,"ARTS HUM","ECON","ARTS HUM",4,4.5,3,3.5,3,4,4,3.75
"N310119412209",2018,"GA","HIST","GA",4,4.5,3,4,3,4,3,4.25
"N325119412212",2018,"LIT","ANTH","LIT",5,4.5,5,4,4.5,4.5,4.5,4.25
"N370119402208",2018,"MCS","PS","MCS",3.5,4,3.5,5,4,3.5,4,4.25
"N366119418208",2018,"LS","LS","PPE",4.5,4.5,3.5,4,3,4,4,4.25
"N357119414209",2018,"PHIL","ARTS HUM","PHIL",4.5,4.5,4,5,3.5,5,3,4.25
"N389119410207",2018,"ECON","LIT","US",3.5,4,4,4.5,3,4,3.5,4
"N362119424209",2018,"ARTS HUM","PSY","ARTS HUM",4.5,5,4.5,4.5,4,4,4,4.25
"N389119408208",2018,"PPE",NA,"PPE",4.5,4.5,5,4,4,5,4,4.25
"N381119425207",2018,"PSY","ECON","PSY",3,4,3,4,3.5,4,4,3.5
"N330119408209",2018,"GA","PPE","GA",4,5,4.5,4.5,3.5,4.5,3.5,4.25
"N373119423208",2018,"ECON","GA","ECON",3,4,4,5,3.5,4,4.5,4.75
"N393119421207",2018,"PSY","PHIL","PSY",3.5,3.5,4,3.5,4.5,3.5,4,4
"N346119423208",2018,"LS","ES","LS",4.5,4.5,4.5,4,4,4,2,4.75
"N372119425207",2018,"PPE","MCS","ECON",4,5,3,5,2,4,2.5,3.25
"N371119425208",2018,"ECON","PPE","PPE",4,4,2.5,4,3,4,2,4.5
"N346119421209",2018,"ARTS HUM","LIT","GA",5,4,4.5,3.5,3,3.5,2.5,3.75
"N338119418209",2018,"GA","ES","ES",4,4,4,3.5,3,3.5,3,4
"N379119412216",2018,"LIT","ARTS HUM","LIT",4,4,3,4,4,4,2,3.75
"N301119412209",2018,"ECON","LS","ECON",4.5,4.5,3.5,3.5,4,4,4,4
"N327119408212",2018,"ARTS HUM","ECON","GA",3,3,3,3,3.5,3.5,3,3.75
"N340119405209",2018,"ECON",NA,"MCS",4,3.5,4.5,5,3.5,4,3.5,3.75
"N320119410209",2018,"GA","PPE","GA",4,4.5,3.5,3.5,4.5,4,2.5,3.75
"N334119412212",2018,"MCS","PSY","MCS",4,4,4.5,4.5,4.5,3,5.5,4.5
"N355119423208",2018,"PPE","ECON","GA",5,4,3.5,3,4,3.5,4,3.75
"N356119421208",2018,"PPE","GA","ES",4,4.5,3.5,4,3,4.5,4,4.25
"N314119402219",2018,"PSY","ARTS HUM","LS",3,4.5,3,4.5,3.5,4.5,3.5,4.5
"N332119405208",2018,"PPE","GA","GA",4,4.5,4.5,4,3.5,4.5,3.5,3.75
"N323119414212",2018,"PPE","LIT","PPE",5,4,2,4,5,4,3.5,4.25
"N380119425208",2018,"ECON","PPE","MCS",5,5,5,4.5,4,5,5,4.75
"N384119418208",2018,"LIT","PPE","PPE",5,4,3.5,4,4,4.5,3.5,3.75
"N391119423208",2018,"LIT","ARTS HUM","HIST",5,5,3.5,3,4,5,3.5,4
"N304119405209",2018,"PPE","ARTS HUM","PPE",3.5,4,3.5,4,4,4.5,2.5,4
"N316119425209",2018,"ANTH","ARTS HUM","US",4.5,4,3,4,3.5,4,3.5,4.25
"N320119423212",2018,"ARTS HUM",NA,"ARTS HUM",5,4,4,3.5,4,4,2,3.75
"N385119418207",2018,"PSY","PPE","PSY",3,4,3,4,3.5,4,2,3.25
"N324119413212",2018,"PPE","GA","PPE",4,4,4,4.5,4,5,3.5,4
"N380119424209",2018,"ECON","PPE","ECON",3.5,3.5,3.5,4,4.5,4,4.5,4.75
"N326119410212",2018,"ARTS HUM","ECON","ECON",4.5,4,4.5,4,3.5,4,4,4.25
"N352119402208",2018,"ECON","ARTS HUM","ECON",5,4.5,5,5,5,5,5,4.75
"N380119402207",2018,"ANTH","LIT","HIST",4,4,3.5,4,3,3,2.5,4
"N314119401209",2018,"PSY","ES","ES",3.5,4,3,4,2.5,3.5,3.5,4.25
"N377119414207",2018,"GA","LS","PPE",3.5,3,4.5,2.5,3,4,4.5,4
"N366119414209",2018,"LIT","ARTS HUM","US",4.5,2.5,4,5,4,4.5,3.5,4.5
"N398119410207",2018,"PPE",NA,"PPE",4,4.5,5.5,5,5,4,5,4.5
"N321118418223",2018,"PHIL",NA,"PSY",4,3.5,3.5,3.5,3.5,4,4.5,4.5
"N329119401212",2018,"ES","ECON","ES",4.5,4.5,5,4.5,4.5,5,5,4.75
"N377119414216",2018,"LIT","LS","LIT",4,4.5,3.5,4,3,4,2.5,4.5
"N311119410209",2018,"PPE","GA","PPE",4.5,4,4.5,4.5,3.5,4,4,3.75
"N349119413209",2018,"PPE","GA","PPE",4.5,5,3.5,4,3,5,4,3.75
"N300119413209",2018,"ECON","PPE","ECON",3.5,3.5,2.5,3.5,3,3.5,4,3.5
"N337119423208",2018,"PHIL","GA","PPE",5,5,4.5,5,4,4.5,4,4.5
"N347119418209",2018,"US","HIST","ECON",4,4.5,4,3,3.5,4,4,4.5
"N302119412208",2018,"LS","HIST","US",3.5,4,3,4,4.5,5,4,4.5
"N348119418208",2018,"ECON","GA","US",4.5,4.5,3,3.5,4,3.5,3,4
"N378119410209",2018,"LS","LIT","ANTH",4.5,4,4.5,3.5,3,3.5,2.5,4.25
"N395119414207",2018,"ARTS HUM","LS","PPE",3,3,3.5,3,3.5,4.5,2,4
"N397119410208",2018,"LIT","ARTS HUM","LIT",5,5,4,5,4,4,4,4.25
"N387119413207",2018,"ARTS HUM","LIT","ARTS HUM",4,4.5,3,4,3.5,3,2,3.25
"N316116421296",2018,"PPE",NA,"PPE",4.5,4,2.5,3.5,3.5,4,2.5,3.5
"N316119424219",2018,"ARTS HUM",NA,"PSY",4.5,4.5,3.5,4,4.5,3.5,2.5,3.75
"N384119414209",2018,"HIST","GA","GA",3.5,4.5,5,5,4.5,4.5,4.5,4.5
"N334119402208",2018,"GA","PPE","GA",4,4,4,3,3,3.5,3.5,4.25
"N396119413207",2018,"PS","ARTS HUM","PS",5,4.5,4.5,4.5,3.5,4.5,5,5
"N318119424208",2018,"PPE","HIST","PPE",3.5,4,3.5,4,4,4,3.5,4.25
"N316119402208",2018,"LS","PS","GA",4.5,4.5,4,4,3.5,4,4,4.25
"N368119412209",2018,"LS",NA,"LS",4,4,4.5,4,3.5,4,4,4
"N320119425201",2018,"PPE","PSY","PPE",4,4.5,4,4.5,4.5,5,2,4.75
"N324119402209",2018,"HIST","GA","HIST",3.5,4.5,4,3.5,4,4,2.5,3.5
"N330116410247",2018,"PS","PS","PS",4.5,5,4.5,4.5,4.5,4,5,4.75
"N302119410209",2018,"MCS","ECON","PSY",3.5,4,3,3,3.5,3,3.5,3.25
"N324119401208",2018,"PSY","MCS","PSY",4.5,4.5,4,3.5,4,4,5,4.25
"N360116405246",2018,"ES","ANTH","ES",4,4,4,5,4,4.5,5,4.75
"N331119418212",2018,"PSY","PPE","PSY",3.5,4,4.5,4.5,3,3.5,4.5,4.25
"N392119423207",2018,"US","PSY","US",3.5,4,4.5,3.5,3.5,3.5,4,4
"N359117405268",2018,"ARTS HUM","US","ARTS HUM",3,4.5,3.5,3.5,3,3.5,4,4.25
"N305119401209",2018,"ANTH","ES","ES",4,4.5,4.5,4,3.5,4,4,4
"N317119424209",2018,"HIST","LIT","HIST",4,4.5,4.5,4.5,4,4,3.5,4.25
"N335119425208",2018,"ARTS HUM","PPE","GA",3.5,3.5,3,3.5,3.5,4.5,2.5,3.5
"N367119414208",2018,"US","ECON","ECON",4.5,3,3,4,5,3.5,4.5,4.5
"N375119414209",2018,"ES","LS","ES",4.5,5,5,5,5,5,5,5.25
"N359119412209",2018,"PPE","PPE","MCS",4.5,4,4,4,3,4,2.5,3.75
"N319119421209",2018,"GA","PPE","ANTH",4.5,5,4.5,4.5,4.5,4.5,4.5,5
"N398119408208",2018,"MCS","MCS","MCS",4,3.5,3.5,3,2.5,4,4,3.75
"N368119413208",2018,"PPE","GA","HIST",5,5,3.5,5,4,4.5,3,4.5
"N378119413207",2018,"PPE","ECON","PPE",3.5,4,3.5,4,4,3.5,3,4.5
"N344119425208",2018,"MCS","MCS","MCS",4,2.5,4.5,3,3.5,2.5,3.5,3.25
"N354119424208",2018,"LS","PSY","PSY",4,4.5,3.5,3.5,4.5,3.5,4,4
"N392119421208",2018,"ECON","LS","ES",5,4.5,4.5,4.5,4.5,4,4,4.75
"N319119405212",2018,"ES","PPE","ES",4.5,4.5,3.5,3.5,3.5,4,4.5,4.25
"N309119424208",2018,"PPE","GA","ECON",4.5,4,3.5,3.5,4,3.5,4,4.75
"N363119423209",2018,"ECON","PPE","ECON",4,5,4,4.5,4.5,4,4.5,5
"N376119418207",2018,"PS",NA,"MCS",4.5,4.5,4,4.5,4.5,4.5,4,4.25
"N386119413208",2018,"MCS","MCS","MCS",4.5,3.5,4,3.5,2.5,4.5,4,4
"N351119402209",2018,"PSY","MCS","PSY",4.5,5,4.5,4.5,4.5,4,5,5
"N329119421208",2018,"PSY","GA","PSY",4,4,4,4,3.5,4,4,4
"N321119408209",2018,"ES","ECON","ECON",4.5,3,3.5,3.5,4,4,4,3.75
"N327119424208",2018,"US","PPE","ECON",4,4.5,3.5,4.5,4,3.5,3.5,4.5
"N374119423207",2018,"PPE","PSY","US",4,4,4,4,3,3.5,3,3.5
"N369119410209",2018,"ARTS HUM","PPE","US",5,4,4.5,5,4.5,4,5,4.75
"N309119423209",2018,"ANTH","ARTS HUM","ANTH",4.5,4.5,3.5,3.5,5,4,3,4.25
"N326119424209",2018,"PHIL","PSY","MCS",4,4,4.5,4.5,3,4,4.5,4.5
"N307119402208",2018,"US","ES","ES",3.5,4,4.5,4.5,3.5,4,4,4.25
"N314119405208",2018,"MCS","PHIL","GA",4.5,4,5,4,4,4,4.5,4.75
"N334119425209",2018,"GA","PPE","PPE",3.5,4,3.5,3.5,4,4,3,4
"N332119414212",2018,"PPE","ARTS HUM","US",4,4.5,4,3.5,4,4,4,4
"N333119413212",2018,"PPE",NA,"MCS",4,4.5,4.5,3.5,4,5,4.5,4.75
"N317119423219",2018,"LS","ARTS HUM","LS",4,3.5,4,4,3.5,4,4,4.5
"N358119414208",2018,"LIT","LIT","LIT",3.5,3,3.5,3.5,2.5,4,2,4.25
"N356119418209",2018,"MCS","PS","PS",3,3.5,2.5,3,3,3,2,4
"N384119421207",2018,"ARTS HUM","LIT","LIT",4,4,3,3.5,3,4,3.5,4.25
"N345119423209",2018,"PS",NA,"PS",4,4,3.5,3,3,4,2.5,3.75
"N332119401209",2018,"PHIL","LIT","PHIL",4,4.5,4.5,4,4.5,4,3,3.75
"N313119408208",2018,"ECON",NA,"PPE",3.5,4,3.5,3.5,3.5,4,3.5,3.5
"N362119425208",2018,"PPE","ECON","ECON",3.5,4,4,4.5,3.5,4,4,4.25
"N303119410208",2018,"MCS","LS","MCS",4.5,4,3,3.5,3,4,2.5,4
"N391119424207",2018,"PHIL","ARTS HUM","MCS",3.5,4,3.5,5,4,4,4,4.25
"N382119424207",2018,"PPE","GA","ECON",3.5,4.5,3,3.5,3.5,4,3,4
"N312119410208",2018,"LS","GA","LS",4,4.5,4,4,4,4,4,4
"N313119405209",2018,"PSY","PHIL","PSY",4.5,4,3.5,3.5,3.5,4,4,4.5
"N312119408209",2018,"ES","PPE","GA",3,3.5,4,4,4,4,3.5,3.75
"N339119414209",2018,"PPE","US","PPE",3.5,4.5,3,3.5,2,3.5,3.5,3.5
"N386119414207",2018,"MCS","LS","MCS",4.5,5,4.5,3.5,3,4,4.5,4.75
"N339119418208",2018,"ARTS HUM",NA,"ARTS HUM",4,4.5,3,3.5,3.5,3,2,3.5
"N342119401208",2018,"MCS","ECON","MCS",4,4,4.5,4,4,5,5,4.75
"N354119423209",2018,"GA","PPE","US",5,4.5,5,4,4.5,3,4.5,4.25
"N301119413208",2018,"PS","ES","ES",3.5,4,3.5,2.5,2,3.5,2.5,4
"N328119421209",2018,"LIT","ANTH","LIT",4.5,4.5,4.5,4.5,4,4,3.5,4.25
"N322119408208",2018,"HIST","PPE","GA",4,4,3.5,4,3.5,3.5,4,4.25
"N383119423207",2018,"ANTH","GA","US",3.5,4,3,4,4,4.5,4,4
"N330119421212",2018,"ARTS HUM","PSY","LIT",5,5,4,5,4.5,4.5,4,4.5
"N303119408209",2018,"ANTH","US","GA",3,4,3.5,3.5,3.5,3.5,2.5,3.75
"N315119401208",2018,"LIT","PPE","LIT",4.5,5,4,3,4,5,3.5,4
"N331119405209",2018,"GA","PPE","PPE",4,3,3,3,3,3.5,3,4
"N361119425209",2018,"ECON","PPE","PPE",4.5,3.5,4,3,3.5,3.5,4,3.75
"N305119405208",2018,"PSY","ARTS HUM","PSY",3.5,4,5,3.5,3.5,4,4,3.25
"N394119418207",2018,"LIT","PSY","LIT",4.5,3.5,4,4.5,3.5,4,3.5,4
"N380119402216",2018,"PPE","ARTS HUM","GA",2.5,3,2.5,3,2,3.5,2,3.25
"N335119424209",2018,"ES","ECON","ES",4,3.5,4.5,4,3.5,3.5,4,4.25
"N317119425208",2018,"ANTH","ANTH","PPE",4,4.5,3.5,4.5,4.5,5,4,4.5
"N318119423209",2018,"ANTH","PPE","US",4.5,4.5,4.5,3.5,4,4,4,3.75
"N331119408208",2018,"PPE","GA","GA",3.5,4.5,3.5,3.5,3.5,4,3,3.5
"N324119425219",2018,"PPE","ECON","ECON",3.5,4,4.5,4.5,3.5,4,4,4.75
"N306119401208",2018,"PSY","US","ES",4.5,4,5,3.5,4,4,2.5,4.75
"N315119402209",2018,"PPE","LIT","ES",5,4.5,4,4.5,4.5,4,4,4.75
"N325119424219",2018,"GA","PSY","PPE",4,4,3,3.5,4,5,3.5,3.75
"N364119421209",2018,"PPE","GA","PPE",3.5,4,3,4,3.5,4,4,4.25
"N300119424222",2018,"PPE","GA","PPE",4,4,4,4,3,4,3,4
"N376119414208",2018,"GA","ANTH","LIT",4,5,3.5,3.5,3,3,3.5,3.75
"N321119421212",2018,"US","ARTS HUM","US",4.5,4,4,4.5,4.5,4.5,4,5
"N377119412209",2018,"HIST","MCS","LS",4.5,4.5,4.5,4,3.5,4.5,4.5,4.75
"N388119410208",2018,"ECON","PPE","ECON",4.5,5,5,5,4.5,5,5.5,5
"N359119413208",2018,"LS","ARTS HUM","LS",4,3.5,3.5,4,3,4,4,4.25
"N363119424208",2018,"LIT","ANTH","LIT",4.5,4,3.5,4,3.5,3.5,3,4
"N394119414208",2018,"PPE","ECON","ECON",4.5,4,4,4.5,3.5,4,3,4
"N365119418209",2018,"ARTS HUM","US","US",4.5,4.5,4.5,4.5,4,4.5,4,3.75
"N337119421209",2018,"LS",NA,"LS",4,4,4,4,4,4.5,4,4.25
"N308119424209",2018,"PSY","ECON","ES",3.5,4,4.5,3.5,3.5,4,3.5,3.75
"N395117414218",2018,"PSY","HIST","HIST",4.5,4.5,5,4.5,4.5,4.5,4,4.5
"N374119418209",2018,"ANTH","ARTS HUM","ANTH",5,5,4.5,4,4.5,5,5,4.5
"N318119421219",2018,"GA","PPE","PPE",3,4,2.5,4,4.5,4,3.5,4.25
"N372119423209",2018,"ANTH","HIST","LIT",5,4,4,4,4.5,4.5,3.5,4.25
"N333119401208",2018,"PSY",NA,"PHIL",4,4.5,4,3,4,3.5,2,4.25
"N329119418209",2018,"PSY","LIT","PSY",4,4.5,4.5,3,4.5,4,3.5,3.75
"N328119405212",2018,"PPE","GA","ANTH",3.5,4,4,4.5,3.5,4,2.5,3.5
"N314113414263",2018,"ANTH","GA","ES",4,3,3,3.5,4.5,4.5,3.5,3.75
"N341119405208",2018,"GA","PPE","PPE",5,5,4,4,5,4.5,4,4.75
"N320119408219",2018,"LIT","LIT","LIT",5,4,4,4,4.5,4.5,4,4.5
"N353119425208",2018,"US","ANTH","PSY",4.5,4,3.5,4.5,4,5,4.5,5
"N322119405209",2018,"ECON","PPE","ANTH",5,5,4.5,4.5,4,5,5,4.5
"N375119421207",2018,"ECON","ANTH","MCS",3.5,3.5,4,4,4,4.5,4.5,3.75
"N353119424209",2018,"MCS","PPE","LIT",5,5,4.5,3.5,4,4,2.5,3.25
"N311119412208",2018,"PPE","GA","PPE",4.5,4.5,3.5,5,4.5,5,5.5,5.5
"N382119423208",2018,"LIT","PSY","LIT",4,4.5,3,4.5,4,5,4,4.75
"N382119421209",2018,"PPE","GA","GA",3.5,4.5,3.5,3.5,4,3.5,3.5,3.75
"N330119410208",2018,"PPE","PS","US",4.5,4,3.5,4,3.5,4.5,4.5,4.25
"N300118421234",2018,"US","ECON","ECON",4.5,4,4.5,4.5,4,4,4,4.5
"N397119412207",2018,"LS","PS","MCS",3.5,4.5,3.5,3.5,2.5,4,4,4.25
"N347119421208",2018,"ECON","ARTS HUM","LIT",5,5,4.5,4.5,4,5,4.5,5
"N360119401208",2018,"LS","MCS","ECON",4.5,4,5,4,4,4,4,4.75
"N345119424208",2018,"PPE","GA","ECON",4.5,4.5,4,4.5,4,3.5,3.5,4.5
"N308119425208",2018,"PPE","GA","PPE",3,3,2,3,2,2.5,2,3.5
"N361119402208",2018,"HIST","PPE","PPE",3.5,4.5,3.5,4,3.5,4,4,4.25
"N351119401208",2018,"PPE","ECON","ES",4,3.5,3.5,3,3.5,4.5,4,3.75
"N371119424209",2018,"PSY","ARTS HUM","ARTS HUM",4.5,5,5,4.5,4,4,3.5,4
"N336119423209",2018,"PSY","ECON","PPE",4,4.5,4.5,4.5,4,4.5,3.5,4.5
"N328119423208",2018,"ES","ARTS HUM","LIT",4,4.5,4,5,3,3.5,3,4
"N364119423208",2018,"ARTS HUM","PPE","MCS",4.5,3.5,3.5,3.5,2,3,3,4
"N383119421208",2018,"GA","ARTS HUM","GA",4.5,4,4.5,4.5,4.5,4.5,2.5,3.5
"N365119421208",2018,"ES","LS","ES",5,4.5,2,3.5,3.5,4,4.5,4.75
"N336119424208",2018,"PPE","ANTH","PPE",4.5,4,4,4.5,4,4.5,4.5,4.75
"N388119412207",2018,"ANTH","PSY","ANTH",5,4,4,4.5,4.5,4.5,2.5,4.25
"N340119408208",2018,"PPE","GA","ES",4,5,4,4.5,3.5,3.5,3.5,3.75
"N349119414208",2018,"PS","MCS","PS",3,4,4,3,3,4,4,3.75
"N343119402208",2018,"PPE","GA","GA",5,4.5,4,4.5,3.5,5,4,4.5
"N321119410208",2018,"MCS","PS","MCS",4,4,3.5,4.5,3,4,3.5,4.5
"N310119413208",2018,"ES","GA","ES",3.5,4,3.5,3,4,4.5,4,4
"N300119414208",2018,"ANTH","LS","HIST",5,4,5,5,3.5,4.5,4.5,4.5
"N326119425208",2018,"ECON","LS","MCS",4.5,3.5,4,4,4,3,2,4.25
"N343119425209",2018,"PSY","LS","PSY",3.5,4,4.5,4,3,3,2.5,4
"N325119402208",2018,"PPE","LIT","PSY",3.5,5,4,4,3,4,3.5,4.5
"N399119405208",2018,"MCS",NA,"ECON",4,3.5,3.5,4,4,4.5,4,4.25
"N372119424208",2018,"ECON","MCS","ECON",3.5,4,2.5,3,4,5,3.5,3.5
"N342119402209",2018,"GA","HIST","PPE",2.5,4,3.5,3.5,2.5,3.5,2,3.75
"N379119410208",2018,"MCS","MCS","MCS",4.5,5,5,4.5,4.5,4,5,4.5
"N373119421209",2018,"MCS","ECON","MCS",4.5,3.5,4.5,4,4.5,4,4.5,4.75
"N352119425209",2018,"LS","ARTS HUM","HIST",5,5,4,4.5,4.5,4.5,5,4.75
"N369119412208",2018,"ES","PPE","MCS",3.5,3.5,5,3.5,4,3.5,4.5,4.75
